epoch,train_loss,val_loss,val_dice,val_iou
1,0.497416290640831,0.524962306022644,0.18688441216945648,0.10450838655233383
2,0.4009253978729248,0.37367737889289854,0.9152095317840576,0.8437916994094848
3,0.35159909129142763,0.34362487196922303,0.9141714930534363,0.8421314358711243
4,0.31213856637477877,0.285844212770462,0.9693864464759827,0.9406886219978332
5,0.2757668375968933,0.2559297204017639,0.9885524868965149,0.9773932337760926
6,0.24311843067407607,0.2293300062417984,0.9910955309867859,0.9823671817779541
7,0.21402329728007316,0.205400750041008,0.9934291124343873,0.986953854560852
8,0.18854203596711158,0.17477378845214844,0.9921960592269897,0.984527325630188
9,0.16677272990345954,0.14258628487586975,0.9867359519004821,0.9738491415977478
10,0.14644626826047896,0.1361569195985794,0.9931498765945435,0.9864084720611572
11,0.12897852063179016,0.12120262682437896,0.9956578254699707,0.9913551449775696
12,0.11410791985690594,0.1040218710899353,0.9945401668548584,0.9891469001770019
