epoch,train_loss,val_loss,val_dice,val_iou
1,0.7369411051273346,0.8374032616615296,0.7801957726478577,0.645042335987091
2,0.7017511934041977,0.7099851608276367,0.8930604577064514,0.8070997595787048
3,0.6733700484037399,0.691170585155487,0.8750063180923462,0.7783897161483765
4,0.6464712947607041,0.6538663506507874,0.9011160492897033,0.8203620672225952
5,0.6175688326358795,0.6223432064056397,0.9437931060791016,0.8937982797622681
6,0.5842823833227158,0.5854957580566407,0.9754135847091675,0.9520863652229309
7,0.5461778283119202,0.5613770008087158,0.9868107795715332,0.9739995002746582
8,0.5041069358587265,0.49537134170532227,0.9662659525871277,0.9348496556282043
9,0.45946684181690217,0.4426289081573486,0.9763623356819153,0.9538718223571777
10,0.40996886491775514,0.41058858633041384,0.9935520768165589,0.9871940851211548
11,0.35790528953075407,0.372581422328949,0.9942752361297608,0.9886227965354919
12,0.3085604220628738,0.32064160108566286,0.9938283920288086,0.9877423644065857
