epoch,train_loss,val_loss,val_dice,val_iou
1,0.6161552757024765,0.6830436825752259,0.5626822590827942,0.39813589453697207
2,0.5461092621088028,0.5520360946655274,0.930712354183197,0.8705032706260681
3,0.5099980652332305,0.5166107416152954,0.9059340119361877,0.828344202041626
4,0.4764780730009079,0.4656155467033386,0.9430840969085693,0.8924865961074829
5,0.4432746723294258,0.4321527540683746,0.9657230257987977,0.9338444948196412
6,0.4103947713971138,0.4040108501911163,0.9864304780960083,0.9732565402984619
7,0.37816499918699265,0.3733822822570801,0.9892353296279908,0.9787247061729432
8,0.3469445273280144,0.33827916979789735,0.9871864914894104,0.9747285127639771
9,0.31686733216047286,0.30137420296669004,0.9884261608123779,0.977140212059021
10,0.28653622046113014,0.2976483106613159,0.9922146797180176,0.9845688700675964
11,0.25677360594272614,0.2575951814651489,0.9957793712615967,0.9915968894958496
12,0.229149928689003,0.22679825127124786,0.9947368979454041,0.989535641670227
