winner_label,image_id,otsu_dice,otsu_iou,otsu_threshold,otsu_polarity,unet_dice,unet_iou,unet_minus_otsu_dice
U-Net stronger example,val_0018,0.9754299754309815,0.9520383693083903,0.13304227590560913,bright,0.9983484723369799,0.996702390766966,0.022918496905998342
Otsu stronger example,val_0011,0.9833684703679624,0.9672811059915373,0.13304227590560913,bright,0.9959136018681154,0.9918604651164684,0.012545131500153017
